CustomerID	Email
1	TheGaudyGamer@gmail.com
2	mattroivang@gmail.com
3	nguyenvana1112@gmail.com
34	congtybecahanoi@becahanoi.com
39	borrisjohnson@hotmail.com
42	vietanhtran2003@hotmail.com
44	khongcoemail
56	922288845
65	thethaomaohiem@gmail
70	hanoiwritter2@gmail.com
74	quynhanh84@fpt.com.vn
78	nguyen thi lan anh
79	123@gmail.com
83	khachhangkhongcungcap@gmail.com
92	gabriel1412@gmail.com
98	TheMilkyGamer@gmail.com
102	chamsockhachhang@hanoiwater.vn
108	info@baohiemnhanthovn.com.vn
111	kocomail@gmail.com
115	bongdaso@hotmail.com
118	ngocanhvu94@gmail.com
119	 
121	.
131	
132	nguyenthihongnhung1989@gmail.com
135	JaneNguyen92@yahoo.com
146	
147	..
148	BobCurly@gmail.com
150	VannesaWide-eyed@gmail.com
169	MarryAbashed@gmail.com
173	RoyPublic@gmail.com
177	hoanganhFlimsy@gmail.com
180	Khachhangkhongcungcap@gmail.com
181	nguyenthibenho123@gmail.com
184	huynhthingocnhu@gmail.com
189	 
193	Khachhangkhongcungcap@gmail.com
199	Khkhongcoemail@
